STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,POLLUTANT,Pollutants,SOURCE,Source,VESSEL,Vessel,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,BRN,Brunei Darussalam,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,7122.17700167404,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,BGR,Bulgaria,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,60665.5151974202,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,CPV,Cabo Verde,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,4497.08993203745,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,KHM,Cambodia,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,745.64586136428,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,CMR,Cameroon,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,3800.5055478804,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,CYM,Cayman Islands,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,18923.0452609381,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,CHN,China (People’s Republic of),M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,6540589.04944237,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,COK,Cook Islands,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,5187.9715909143,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,CIV,Côte d’Ivoire,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,1727.50442618169,,,,0,Units,0,Zero
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_MARITIME_TRANSPORT@DF_MARITIME_TRANSPORT(1.0),Maritime transport CO2 emissions (experimental),I,HRV,Croatia,M,Monthly,EMISSIONS,Emissions,T,Tonnes,N,Neither seasonally adjusted nor calendar adjusted,CO2,Carbon dioxide,ESTIMATED,Estimated by OECD,ALL_VESSELS,All vessels,2024-02,,88585.5958051444,,,,0,Units,0,Zero
